X,Y,crime_id,report_number,address,offense_description,offense_category,state_offense_code,arrest_charge,charge_description,incident_timestamp,incident_time,day_of_week,hour_of_day,year,scout_car_area,precinct,block_id,neighborhood,council_district,zip_code,longitude,latitude,oid
-83.225531943,42.415428725,3584326,2101010091,W McNichols Rd & Avon Ave,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/01/01 11:15:00+00,06:15:00,5,6,2021,0807,08,261635405001019,Evergreen-Outer Drive,1,48219,-83.2255319431231,42.4154287249428,79746
-82.972608302,42.426310975,3584348,2101010120,Troester St & Celestine St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/01/01 19:17:00+00,14:17:00,5,14,2021,0906,09,261635005004002,Mapleridge,4,48205,-82.9726083019524,42.4263109752188,79749
-83.0242614649999,42.433977945,3589292,2101160182,Van Dyke St & E 7 Mile Rd,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/01/17 01:30:00+00,20:30:00,6,20,2021,1105,11,261635062001015,Nortown,3,48234,-83.0242614652819,42.4339779453245,80423
-83.2225389129999,42.3577682760001,3591190,2101220094,Joy Rd & Greenview Ave,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/01/22 09:00:00+00,04:00:00,5,4,2021,0607,06,261635467002006,Franklin Park,7,48228,-83.2225389132247,42.3577682758305,80684
-83.217905631,42.3674922330001,3595350,2102040149,Orangelawn St & Ashton Ave,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/02/04 22:34:00+00,17:34:00,4,17,2021,0607,06,261635469001032,Franklin Park,7,48228,-83.2179056312498,42.367492233166,81261
-83.191568327,42.3909096780001,3597843,2102130068,Terry St & Intervale St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/02/13 15:30:00+00,10:30:00,6,10,2021,0202,02,261635378001001,Hubbell-Lyndon,1,48227,-83.1915683270407,42.3909096783124,81625
-82.9747758029999,42.3906907730001,3600939,2102230290,Stringham Ct & Drew Ct,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/02/24 04:00:00+00,23:00:00,2,23,2021,0502,05,261635122001008,Chandler Park,4,48213,-82.974775803248,42.3906907732812,82019
-83.2620444089999,42.407446845,3601225,2102240180,Lamphere St & Puritan St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/02/24 22:34:00+00,17:34:00,3,17,2021,0809,08,261635442003002,Riverdale,1,48219,-83.262044408643,42.407446845231,82057
-83.020810861,42.3716754610001,3602470,2102280081,Canton St & Hancock St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/02/28 05:00:00+00,00:00:00,7,0,2021,0704,07,261635161001018,Gratiot Town/Ketterring,5,48207,-83.0208108607349,42.3716754613607,82237
-83.235143124,42.419417272,3603620,2103030256,Santa Clara Ave & Annchester Rd,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/03/03 23:47:00+00,18:47:00,3,18,2021,0807,08,261635406004006,Evergreen-Outer Drive,1,48219,-83.2351431238669,42.4194172721768,82401
-82.999102126,42.448978176,3603751,2103030395,Strasburg St & 8 Mile Rd,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/03/04 08:43:00+00,03:43:00,4,3,2021,0901,09,261635032003006,Conner Creek,3,48205,-82.9991021262489,42.4489781761493,82422
-83.228848851,42.367260722,3603968,2103040205,Orangelawn St & Piedmont St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/03/04 12:15:00+00,07:15:00,4,7,2021,0607,06,261635468003004,Franklin Park,7,48228,-83.2288488511224,42.3672607222463,82448
-83.07422121,42.419021049,3603996,2103040286,Jerome St & Anglin St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/03/05 04:10:00+00,23:10:00,4,23,2021,1107,11,261635072002016,Cadillac Heights,3,48212,-83.074221209517,42.4190210490427,82451
-83.0993180039999,42.3107908790001,3609361,2103200226,Campbell St & W Lafayette Blvd,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/03/21 02:35:00+00,22:35:00,6,22,2021,0409,04,261635232002022,Central Southwest,6,48209,-83.0993180040879,42.3107908789601,83205
-83.111473312,42.3975988350001,3610053,2103220325,Woodrow Wilson St & W Davison St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/03/23 06:45:00+00,02:45:00,2,2,2021,1003,10,261635319001005,Dexter-Linwood,5,48238,-83.1114733115304,42.3975988348768,83323
-83.075285816,42.4210127710001,3617341,2104110187,Stender St & Maine St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/04/11 23:43:00+00,19:43:00,7,19,2021,1107,11,261635072002008,Cadillac Heights,3,48212,-83.0752858158493,42.421012771348,84262
-83.244946333,42.402361925,3619865,2104180250,Keeler St & Braile St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/04/19 03:20:00+00,23:20:00,7,23,2021,0810,08,261635435001002,Brightmoor,1,48223,-83.244946333158,42.4023619245363,84648
-83.2086052769999,42.3525457640001,3621429,2104230008,Belton Ave & Grandmont Ave,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,0901,09001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/04/23 08:00:00+00,04:00:00,5,4,2021,0611,06,261635454001004,Garden View,7,48228,-83.2086052769209,42.3525457638353,84847
