INCIDENT_DATE,INCIDENT_NUMBER,LOCATION_DISTRICT,OFFENSE_CODE,OFFENSE_DESCRIPTION,WEAPON_TYPE,INCIDENT_LOCATION,CITY,STATE,ZIP,LATITUDE,LONGITUDE,Location 1
12/20/2021 05:03:00 PM,2021-155184,54.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,BLUNT OBJECT,3014 ADAMS ST,LITTLE ROCK,AR,72204,34.723004,-92.325389,"(34.723004, -92.325389)"
12/19/2021 11:47:00 PM,2021-154862,63.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,3600 JOHN BARROW RD,LITTLE ROCK,AR,72205,34.744435,-92.381358,"(34.744435, -92.381358)"
12/19/2021 11:47:00 PM,2021-154862,63.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,3600 JOHN BARROW RD,LITTLE ROCK,AR,72205,34.744435,-92.381358,"(34.744435, -92.381358)"
12/13/2021 06:15:00 PM,2021-152160,55.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,1102 S WOODROW ST,LITTLE ROCK,AR,72204,34.740616,-92.305986,"(34.740616, -92.305986)"
12/10/2021 04:42:00 PM,2021-150879,83.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,3412 PINE CONE DR,LITTLE ROCK,AR,72209,34.662381,-92.31774,"(34.662381, -92.31774)"
11/21/2021 12:04:00 AM,2021-142797,93.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,4700 S UNIVERSITY AVE,LITTLE ROCK,AR,72204,34.708342,-92.344977,"(34.708342, -92.344977)"
11/18/2021 04:02:00 PM,2021-141828,41.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,KNIFE/CUTTING INSTRUMENT,3000  SPRINGER BLVD,LITTLE ROCK,AR,72206,34.719576,-92.259415,"(34.719576, -92.259415)"
11/16/2021 08:46:00 PM,2021-141059,83.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,10015  REPUBLIC LN,LITTLE ROCK,AR,72209,34.658174,-92.341322,"(34.658174, -92.341322)"
11/16/2021 03:44:00 PM,2021-140933,82.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,5500 DREHER LN,LITTLE ROCK,AR,72209,34.675425,-92.338969,"(34.675425, -92.338969)"
11/06/2021 01:53:00 PM,2021-136669,55.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,3404 W 10TH ST,LITTLE ROCK,AR,72205,34.742221,-92.311281,"(34.742221, -92.311281)"
