X,Y,RowID,CrimeDateTime,CrimeCode,Location,Description,Inside_Outside,Weapon,Post,District,Neighborhood,Latitude,Longitude,GeoLocation,Premise,VRIName,Total_Incidents
1395803.60227616,599352.211661121,2247,2021/12/31 22:25:40+00,1A,5100 DICKEY HILL RD,HOMICIDE,Inside,FIREARM,821.0,SOUTHWEST,WAKEFIELD,39.312,-76.705,"(39.312,-76.705)",DWELLING,,1
1404359.75502043,604189.220781563,2407,2021/12/29 23:41:15+00,1A,3300 EDGEWOOD ST,HOMICIDE,Outside,FIREARM,625.0,NORTHWEST,ASHBURTON,39.3252,-76.6747,"(39.3252,-76.6747)",STREET,,1
1428043.07977367,615758.096136918,2411,2021/12/29 19:59:54+00,1A,5600 WOODMONT AVE,HOMICIDE,Outside,FIREARM,414.0,NORTHEAST,WOODBOURNE HEIGHTS,39.3567,-76.5908,"(39.3567,-76.5908)",ALLEY,,1
1433978.17439898,592401.141847682,2737,2021/12/25 20:06:40+00,1A,3300 E BALTIMORE ST,HOMICIDE,Outside,FIREARM,222.0,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.2925,-76.5702,"(39.2925,-76.5702)",STREET,,1
1415164.07141949,590571.081793536,2738,2021/12/25 18:39:18+00,1A,1200 HOLLINS ST,HOMICIDE,Outside,FIREARM,931.0,SOUTHERN,HOLLINS MARKET,39.2877,-76.6367,"(39.2877,-76.6367)",PUBLIC AREA,,1
1417045.8446986,594184.574627215,2924,2021/12/23 14:17:26+00,1A,1100 SHIELDS PL,HOMICIDE,Outside,FIREARM,123.0,CENTRAL,UPTON,39.2976,-76.63,"(39.2976,-76.63)",STREET,Central,1
1428879.70295,568156.142165701,2922,2021/12/23 01:30:11+00,1A,4400 PENNINGTON AVE,HOMICIDE,Outside,FIREARM,911.0,SOUTHERN,CURTIS BAY,39.226,-76.5886,"(39.226,-76.5886)",STREET,,1
1415739.65488342,595272.0231541,2999,2021/12/22 01:06:53+00,1A,700 MOSHER ST,HOMICIDE,Outside,FIREARM,123.0,CENTRAL,UPTON,39.3006,-76.6346,"(39.3006,-76.6346)",PUBLIC AREA,Central,1
1412521.03913646,578723.114059765,3078,2021/12/21 21:03:50+00,1A,2900 HOLLINS FERRY RD,HOMICIDE,Outside,FIREARM,923.0,SOUTHERN,LAKELAND,39.2552,-76.6462,"(39.2552,-76.6462)",PUBLIC AREA,,1
1433290.9043501,594109.82978241,3081,2021/12/21 17:23:21+00,1A,500 LONEYS LN,HOMICIDE,Outside,FIREARM,224.0,SOUTHEAST,ELLWOOD PARK/MONUMENT,39.2972,-76.5726,"(39.2972,-76.5726)",STREET,,1
1422535.34899567,601018.654064196,3079,2021/12/21 11:49:44+00,1A,2400 BRENTWOOD AVE,HOMICIDE,Outside,FIREARM,311.0,EASTERN,BARCLAY,39.3163,-76.6105,"(39.3163,-76.6105)",STREET,,1
1415046.28146525,598838.781659062,3519,2021/12/17 19:49:33+00,1A,1200 W NORTH AVE,HOMICIDE,Outside,FIREARM,733.0,WESTERN,PENN NORTH,39.3104,-76.637,"(39.3104,-76.637)",DWELLING,,1
1415422.98615076,596618.434039834,3511,2021/12/17 12:57:29+00,1A,600 LAURENS ST,HOMICIDE,Outside,FIREARM,123.0,CENTRAL,UPTON,39.3043,-76.6357,"(39.3043,-76.6357)",STREET,,1
1404571.62128175,592388.696704239,3613,2021/12/16 15:32:45+00,1A,500 DENISON ST,HOMICIDE,Outside,FIREARM,824.0,SOUTHWEST,LOWER EDMONDSON VILLAGE,39.2928,-76.6741,"(39.2928,-76.6741)",PUBLIC AREA,,1
1399472.11129044,585486.972619919,3615,2021/12/16 03:07:32+00,1A,600 LUCIA AVE,HOMICIDE,Outside,FIREARM,833.0,SOUTHWEST,YALE HEIGHTS,39.2739,-76.6922,"(39.2739,-76.6922)",STREET,,1
1401786.17723823,603961.635080576,3872,2021/12/13 17:06:23+00,1K,3900 NORFOLK AVE,HOMICIDE,Outside,KNIFE,623.0,NORTHWEST,CONCERNED CITIZENS OF FOREST PARK,39.3246,-76.6838,"(39.3246,-76.6838)",STREET,,1
1442905.8356964,612368.677165686,3946,2021/12/12 16:37:11+00,1A,1900 ARGONNE DR,HOMICIDE,Outside,FIREARM,445.0,NORTHEAST,CEDMONT,39.3472,-76.5383,"(39.3472,-76.5383)",ALLEY,,1
1422065.82958241,584990.254083799,4031,2021/12/11 13:33:26+00,1A,1500 MARSHALL ST,HOMICIDE,Inside,FIREARM,942.0,SOUTHERN,SOUTH BALTIMORE,39.2723,-76.6124,"(39.2723,-76.6124)",DWELLING,,1
1435815.63089283,610621.849595359,4220,2021/12/09 08:17:48+00,1A,4800 HOLDER AVE,HOMICIDE,Outside,FIREARM,426.0,NORTHEAST,WALTHERSON,39.3425,-76.5634,"(39.3425,-76.5634)",DWELLING,,1
