X,Y,crime_id,report_number,address,offense_description,offense_category,state_offense_code,arrest_charge,charge_description,incident_timestamp,incident_time,day_of_week,hour_of_day,year,scout_car_area,precinct,block_id,neighborhood,council_district,zip_code,longitude,latitude,oid
-83.17947067,42.40936901,3716088,2112300266,Puritan St & Schaefer Hwy,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/12/31 06:20:00+00,1:20:00,5,1,2021,201,2,2.62E+14,Harmony Village,2,48235,-83.17947067,42.40936901,414467
-82.95060521,42.41390508,3715441,2112280333,Somerset Ave & Courville St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/12/29 09:10:00+00,4:10:00,3,4,2021,911,9,2.62E+14,Outer Drive-Hayes,4,48224,-82.95060521,42.41390508,204392
-83.14350477,42.42799038,3715427,2112280296,Santa Rosa Dr & Margareta St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/12/29 06:20:00+00,1:20:00,3,1,2021,1208,12,2.62E+14,Bagley,2,48221,-83.14350477,42.42799037,414348
-83.21279964,42.34543727,3715080,2112270279,Longacre St & Rutland St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/12/28 06:21:00+00,1:21:00,2,1,2021,611,6,2.62E+14,Warren Ave Community,7,48228,-83.21279964,42.34543727,310602
-83.05099956,42.35680334,3715043,2112270215,E Canfield St & N I 75 Service Drive,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/12/28 01:34:00+00,20:34:00,1,20,2021,706,7,2.62E+14,Forest Park,5,48207,-83.05099956,42.35680334,204320
-83.14457804,42.39809383,3714588,2112260008,Prairie St & Eaton St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/12/26 10:01:00+00,5:01:00,7,5,2021,1001,10,2.62E+14,Chalfonte,7,48238,-83.14457804,42.39809383,204244
-83.07008241,42.42582881,3714566,2112250195,E Nevada St & Charest St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/12/26 06:57:00+00,1:57:00,7,1,2021,1107,11,2.62E+14,Cadillac Heights,3,48212,-83.07008241,42.42582881,204238
-82.94875368,42.447515,3714508,2112250114,Shakespeare St & Edmore Dr,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/12/25 22:28:00+00,17:28:00,6,17,2021,903,9,2.62E+14,Regent Park,3,48205,-82.94875368,42.447515,414208
-83.20400939,42.42852529,3714512,2112250138,Clarita St & Prevost St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/12/25 15:30:00+00,10:30:00,6,10,2021,808,8,2.62E+14,College Park,2,48235,-83.20400939,42.42852529,310516
-83.19633959,42.39184601,3714249,2112240174,Grand River Ave & Whitcomb St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/12/25 00:12:00+00,19:12:00,5,19,2021,202,2,2.62E+14,Cadillac Community,1,48227,-83.19633959,42.39184601,204184
-83.13213298,42.31451488,3714076,2112230309,Norman St & Belle St,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),HOMICIDE,901,9001,MURDER / NON-NEGLIGENT MANSLAUGHTER (VOLUNTARY),2021/12/24 08:53:00+00,3:53:00,5,3,2021,407,4,2.62E+14,Springwells,6,48209,-83.13213298,42.31451488,98295
