INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE
80-21-074786,2021-12-23 20:10:00,2021-12-23 20:10:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,RESTAURANT                                   ,7400 BLOCK PRESTON HWY                                      ,LOUISVILLE,40219.0
80-21-074636,2021-12-23 02:29:00,2021-12-23 02:29:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,712,PARKING LOT / GARAGE                         ,7700 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40291.0
80-21-074409,2021-12-21 20:26:00,2021-12-21 20:26:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,HIGHWAY / ROAD / ALLEY                       ,8100 BLOCK PRESTON HWY                                      ,LOUISVILLE,40219.0
80-21-073864,2021-12-18 22:09:00,2021-12-18 22:09:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3700 BLOCK CENTER ST                                        ,LOUISVILLE,40215.0
80-21-073743,2021-12-18 08:51:00,2021-12-18 08:51:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,S 5TH ST / W LANSING AVE                                    ,LOUISVILLE,40214.0
80-21-073680,2021-12-17 22:36:00,2021-12-17 22:30:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,1700 BLOCK HALE AVE                                         ,LOUISVILLE,40210.0
80-21-071457,2021-12-06 18:41:00,2021-12-06 18:41:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,612,BAR / NIGHT CLUB                             ,5000 BLOCK POPLAR LEVEL RD                                  ,LOUISVILLE,40219.0
80-21-070909,2021-12-03 18:13:00,2021-12-03 18:13:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,HIGHWAY / ROAD / ALLEY                       ,AIR COMMERCE DR / OUTER LOOP                                ,LOUISVILLE,40219.0
80-21-070722,2021-12-02 21:59:00,2021-12-02 21:59:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,723,RESIDENCE / HOME                             ,8200 BLOCK SANDIDGE DR                                      ,LOUISVILLE,40228.0
80-21-069219,2021-11-25 02:40:00,2021-11-25 02:36:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,600 BLOCK HECKS LN                                          ,LOUISVILLE,40211.0
80-21-069196,2021-11-24 20:50:00,2021-11-24 20:50:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,723,PARKING LOT / GARAGE                         ,7200 BLOCK FEGENBUSH LN                                     ,LOUISVILLE,40228.0
80-21-068586,2021-11-21 19:16:00,2021-11-21 19:13:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,N 19TH ST / DUNCAN ST                                       ,LOUISVILLE,40203.0
80-21-068406,2021-11-20 16:59:00,2021-11-20 16:59:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,5TH DIVISION,525,HIGHWAY / ROAD / ALLEY                       ,AMBRIDGE CIR / WESTPORT RD                                  ,LOUISVILLE,40207.0
80-21-068105,2021-11-19 04:39:00,2021-11-19 04:39:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,METRO LOUISVILLE,METRO,HIGHWAY / ROAD / ALLEY                       ,DIXIE HWY AT I264                                           ,LOUISVILLE,40216.0
80-21-068013,2021-11-18 15:29:00,2021-11-18 15:29:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,PARKING LOT / GARAGE                         ,1800 BLOCK BERRY BLVD                                       ,LOUISVILLE,40215.0
80-21-067510,2021-11-16 13:39:00,2021-11-16 13:39:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,112,HIGHWAY / ROAD / ALLEY                       ,2400 BLOCK ELLIOTT AVE                                      ,LOUISVILLE,40211.0
80-21-065949,2021-11-08 22:20:00,2021-11-08 22:20:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,200 BLOCK CECIL AVE                                         ,LOUISVILLE,40212.0
80-21-065931,2021-11-08 20:05:00,2021-11-08 20:05:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,424,OTHER RESIDENCE (APARTMENT/CONDO)            ,3000 BLOCK S 4TH ST                                         ,LOUISVILLE,40208.0
80-21-065313,2021-11-05 20:34:00,2021-11-05 20:34:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,225,RESIDENCE / HOME                             ,1700 BLOCK ST LOUIS AVE                                     ,LOUISVILLE,40210.0
80-21-065086,2021-11-04 17:28:00,2021-11-04 17:28:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,412,RESIDENCE / HOME                             ,200 BLOCK E KENTUCKY ST                                     ,LOUISVILLE,40203.0
80-21-064293,2021-11-01 04:34:00,2021-11-01 04:34:00,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,S 22ND ST / DUMESNIL ST                                     ,LOUISVILLE,40210.0
