INCIDENT_DATE,INCIDENT_NUMBER,LOCATION_DISTRICT,OFFENSE_CODE,OFFENSE_DESCRIPTION,WEAPON_TYPE,INCIDENT_LOCATION,CITY,STATE,ZIP,LATITUDE,LONGITUDE,Location 1
11/8/19 13:56,2019-139755,80,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,5201 GEYER SPRINGS RD,LITTLE ROCK,AR,72209,34.702537,-92.342534,"(34.702537, -92.342534)"
5/23/21 20:45,2021-057354,82,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,2401 W 65TH ST,LITTLE ROCK,AR,72209,34.688184,-92.304128,"(34.688184, -92.304128)"
6/3/21 21:22,2021-062844,82,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,5924  BASELINE RD,LITTLE ROCK,AR,72209,34.669154,-92.344349,"(34.669154, -92.344349)"
6/9/19 1:56,2019-070616,81,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,5300 BASELINE RD,LITTLE ROCK,AR,72209,34.670112,-92.337504,"(34.670112, -92.337504)"
12/26/18 20:00,2018-163851,93,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,25 PAR DR,LITTLE ROCK,AR,72210,34.672562,-92.429127,"(34.672562, -92.429127)"
11/21/21 0:04,2021-142797,93,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,4700 S UNIVERSITY AVE,LITTLE ROCK,AR,72204,34.708342,-92.344977,"(34.708342, -92.344977)"
10/12/18 1:00,2018-130609,91,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,6201 MABELVALE CUT OFF RD,LITTLE ROCK,AR,72209,34.653992,-92.347444,"(34.653992, -92.347444)"
2/7/17 23:15,2017-014864,93,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,25 PAR DR,LITTLE ROCK,AR,72210,34.672562,-92.429127,"(34.672562, -92.429127)"
6/9/18 19:50,2018-070276,81,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,KNIFE/CUTTING INSTRUMENT,8706 STANTON RD,LITTLE ROCK,AR,72209,34.67021,-92.333218,"(34.67021, -92.333218)"
4/8/21 16:23,2021-036907,91,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,7700 N CHICOT RD,LITTLE ROCK,AR,72209,34.679417,-92.362297,"(34.679417, -92.362297)"
2/20/21 13:51,2021-016507,81,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,5201  HALIFAX DR,LITTLE ROCK,AR,72209,34.683325,-92.334792,"(34.683325, -92.334792)"
11/2/18 14:23,2018-139977,81,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,7316 SUNFLOWER DR,LITTLE ROCK,AR,72209,34.671395,-92.359421,"(34.671395, -92.359421)"
12/4/17 18:00,2017-152712,81,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,UNKNOWN,6600 LANCASTER RD,LITTLE ROCK,AR,72209,34.689018,-92.33416,"(34.689018, -92.33416)"
5/15/17 8:10,2017-056473,91,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,11500 CHICOT RD,LITTLE ROCK,AR,72103,34.645877,-92.363563,"(34.645877, -92.363563)"
9/16/18 15:30,2018-118346,62,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,8518 WESTWOOD AVE,LITTLE ROCK,AR,72204,34.705685,-92.370931,"(34.705685, -92.370931)"
5/21/20 16:57,2020-054782,91,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,10204 MILKYWAY DR,LITTLE ROCK,AR,72209,34.65769,-92.370437,"(34.65769, -92.370437)"
4/10/21 17:34,2021-037741,92,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,1  BASS PRO DR,LITTLE ROCK,AR,72209,34.658744,-92.409321,"(34.658744, -92.409321)"
4/14/20 12:29,2020-040672,82,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,7325 TWIN OAKS RD,LITTLE ROCK,AR,72209,34.662887,-92.360374,"(34.662887, -92.360374)"
10/1/20 13:34,2020-114448,82,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,5204 STANLEY DR,LITTLE ROCK,AR,72209,34.665742,-92.337119,"(34.665742, -92.337119)"
12/10/21 16:42,2021-150879,83,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,3412 PINE CONE DR,LITTLE ROCK,AR,72209,34.662381,-92.31774,"(34.662381, -92.31774)"
9/7/19 23:53,2019-112923,90,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,KNIFE/CUTTING INSTRUMENT,10200 INTERSTATE 30,LITTLE ROCK,AR,72209,34.67123,-92.379738,"(34.67123, -92.379738)"
10/21/20 18:54,2020-123505,91,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,RIFLE,12822 QUAIL CREEK RD,LITTLE ROCK,AR,72206,34.63267,-92.344811,"(34.63267, -92.344811)"
4/3/20 21:56,2020-036902,91,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,9008 WOODFORD DR,LITTLE ROCK,AR,72209,34.668573,-92.372142,"(34.668573, -92.372142)"
5/27/17 9:40,2017-062564,81,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,UNKNOWN,8510 SCOTT HAMILTON DR,LITTLE ROCK,AR,72209,34.67104,-92.317818,"(34.67104, -92.317818)"
1/24/17 1:10,2017-008932,93,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,13415 OTTER CREEK,LITTLE ROCK,AR,72202,34.658295,-92.427037,"(34.658295, -92.427037)"
10/22/20 8:59,2020-123688,91,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,UNKNOWN,8621  BASELINE RD,LITTLE ROCK,AR,72209,34.669792,-92.374349,"(34.669792, -92.374349)"
4/1/18 17:48,2018-038283,90,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,11100 DAVID O DODD RD,LITTLE ROCK,AR,72204,34.692541,-92.400047,"(34.692541, -92.400047)"
3/24/17 20:30,2017-032651,81,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,8701 INTERSTATE 30,LITTLE ROCK,AR,72209,34.678997,-92.347123,"(34.678997, -92.347123)"
7/11/17 9:00,2017-084271,81,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,8701 INTERSTATE 30,LITTLE ROCK,AR,72209,34.678997,-92.347123,"(34.678997, -92.347123)"
11/23/20 18:08,2020-137549,91,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,7604 EAGLE DR,LITTLE ROCK,AR,72209,34.667742,-92.363171,"(34.667742, -92.363171)"
9/19/19 18:45,2019-118262,82,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,5224 STANLEY DR,LITTLE ROCK,AR,72205,34.665417,-92.338545,"(34.665417, -92.338545)"
9/23/19 18:10,2019-120012,93,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,23 FALCON CT,LITTLE ROCK,AR,72210,34.679335,-92.430586,"(34.679335, -92.430586)"
2/15/18 19:45,2018-019187,93,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,5 FALCON CT,LITTLE ROCK,AR,72210,34.680581,-92.431116,"(34.680581, -92.431116)"
12/26/18 20:00,2018-163851,93,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,25 PAR DR,LITTLE ROCK,AR,72210,34.672562,-92.429127,"(34.672562, -92.429127)"
11/16/21 15:44,2021-140933,82,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,5500 DREHER LN,LITTLE ROCK,AR,72209,34.675425,-92.338969,"(34.675425, -92.338969)"
5/15/17 8:10,2017-056473,91,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,11500 CHICOT RD,LITTLE ROCK,AR,72103,34.645877,-92.363563,"(34.645877, -92.363563)"
12/4/17 18:00,2017-152712,81,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,UNKNOWN,6600 LANCASTER RD,LITTLE ROCK,AR,72209,34.689018,-92.33416,"(34.689018, -92.33416)"
7/21/21 16:09,2021-086410,42,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,UNKNOWN,3201 BANKHEAD DR,LITTLE ROCK,AR,72204,34.714268,-92.222145,"(34.714268, -92.222145)"
4/19/20 15:05,2020-042510,81,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,5001 W 65TH ST,LITTLE ROCK,AR,72205,34.689186,-92.332632,"(34.689186, -92.332632)"
7/3/21 0:01,2021-077330,82,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,7501 INTERSTATE 30,LITTLE ROCK,AR,72209,34.67772,-92.32143,"(34.67772, -92.32143)"
3/24/17 20:30,2017-032651,81,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,8701 INTERSTATE 30,LITTLE ROCK,AR,72209,34.678997,-92.347123,"(34.678997, -92.347123)"
1/14/22 8:47,2022-005215,92,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,11  PAR DR,LITTLE ROCK,AR,72210,34.672855,-92.428563,"(34.672855, -92.428563)"
