INCIDENT_NUMBER,DATE_REPORTED,DATE_OCCURED,CRIME_TYPE,UOR_DESC,NIBRS_CODE,UCR_HIERARCHY,ATT_COMP,LMPD_DIVISION,LMPD_BEAT,PREMISE_TYPE,BLOCK_ADDRESS,City,ZIP_CODE
80-21-074786,12/23/21 20:10,12/23/21 20:10,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,RESTAURANT                                   ,7400 BLOCK PRESTON HWY                                      ,LOUISVILLE,40219
80-21-074636,12/23/21 2:29,12/23/21 2:29,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,712,PARKING LOT / GARAGE                         ,7700 BLOCK BARDSTOWN RD                                     ,LOUISVILLE,40291
80-21-074409,12/21/21 20:26,12/21/21 20:26,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,HIGHWAY / ROAD / ALLEY                       ,8100 BLOCK PRESTON HWY                                      ,LOUISVILLE,40219
80-21-073864,12/18/21 22:09,12/18/21 22:09,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,RESIDENCE / HOME                             ,3700 BLOCK CENTER ST                                        ,LOUISVILLE,40215
80-21-073743,12/18/21 8:51,12/18/21 8:51,HOMICIDE,MURDER,09A,PART I,COMPLETED,4TH DIVISION,423,HIGHWAY / ROAD / ALLEY                       ,S 5TH ST / W LANSING AVE                                    ,LOUISVILLE,40214
80-21-073680,12/17/21 22:36,12/17/21 22:30,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,223,HIGHWAY / ROAD / ALLEY                       ,1700 BLOCK HALE AVE                                         ,LOUISVILLE,40210
80-21-071457,12/6/21 18:41,12/6/21 18:41,HOMICIDE,MURDER,09A,PART I,COMPLETED,6TH DIVISION,612,BAR / NIGHT CLUB                             ,5000 BLOCK POPLAR LEVEL RD                                  ,LOUISVILLE,40219
80-21-070909,12/3/21 18:13,12/3/21 18:13,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,736,HIGHWAY / ROAD / ALLEY                       ,AIR COMMERCE DR / OUTER LOOP                                ,LOUISVILLE,40219
80-21-070722,12/2/21 21:59,12/2/21 21:59,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,723,RESIDENCE / HOME                             ,8200 BLOCK SANDIDGE DR                                      ,LOUISVILLE,40228
80-21-069219,11/25/21 2:40,11/25/21 2:36,HOMICIDE,MURDER,09A,PART I,COMPLETED,2ND DIVISION,211,HIGHWAY / ROAD / ALLEY                       ,600 BLOCK HECKS LN                                          ,LOUISVILLE,40211
80-21-069196,11/24/21 20:50,11/24/21 20:50,HOMICIDE,MURDER,09A,PART I,COMPLETED,7TH DIVISION,723,PARKING LOT / GARAGE                         ,7200 BLOCK FEGENBUSH LN                                     ,LOUISVILLE,40228
80-21-068586,11/21/21 19:16,11/21/21 19:13,HOMICIDE,MURDER,09A,PART I,COMPLETED,1ST DIVISION,111,HIGHWAY / ROAD / ALLEY                       ,N 19TH ST / DUNCAN ST                                       ,LOUISVILLE,40203
80-21-068406,11/20/21 16:59,11/20/21 16:59,HOMICIDE,MURDER,09A,PART I,COMPLETED,5TH DIVISION,525,HIGHWAY / ROAD / ALLEY                       ,AMBRIDGE CIR / WESTPORT RD                                  ,LOUISVILLE,40207
